name,value,timestep,step
MeanLen-,47.33119995192271,0,24
MeanEntropy,2.0130446,0,24
NumTrajs,300,0,25
NumTimesteps,41026,0,25
MaxRew,-11.264431808334619,0,25
MeanRew_lower,4.335574275730318,0,25
MeanRew_upper,-15.714760002329294,0,25
MeanSlowdown,5.208,0,25
MeanLen+,136.75333333333333,0,25
MeanLen-,21.69391210045395,0,25
MeanEntropy,2.023607,0,25
NumTrajs,300,0,26
NumTimesteps,42699,0,26
MaxRew,-11.49814966234863,0,26
MeanRew_lower,4.716186252264106,0,26
MeanRew_upper,-16.122293613731326,0,26
MeanSlowdown,5.320791358174536,0,26
MeanLen+,142.33,0,26
MeanLen-,45.944543745694105,0,26
MeanEntropy,2.0148182,0,26
NumTrajs,300,0,27
NumTimesteps,42495,0,27
MaxRew,-11.875523134279215,0,27
MeanRew_lower,4.41750927223325,0,27
MeanRew_upper,-16.250072951624897,0,27
MeanSlowdown,5.524606060606061,0,27
MeanLen+,141.65,0,27
MeanLen-,23.308814498668383,0,27
MeanEntropy,2.096816,0,27
NumTrajs,300,0,28
NumTimesteps,42212,0,28
MaxRew,-11.511740902161069,0,28
MeanRew_lower,4.520204330725246,0,28
MeanRew_upper,-15.941468748844102,0,28
MeanSlowdown,5.198422330097087,0,28
MeanLen+,140.70666666666668,0,28
MeanLen-,47.046650134615206,0,28
MeanEntropy,2.0400357,0,28
NumTrajs,300,0,29
NumTimesteps,40684,0,29
MaxRew,-11.653961297422047,0,29
MeanRew_lower,4.440453068113269,0,29
MeanRew_upper,-16.015588797417557,0,29
MeanSlowdown,5.1780606060606065,0,29
MeanLen+,135.61333333333334,0,29
MeanLen-,22.61040665023274,0,29
MeanEntropy,2.093422,0,29
NumTrajs,300,0,30
NumTimesteps,42973,0,30
MaxRew,-11.56907264667514,0,30
MeanRew_lower,4.6372380752734665,0,30
MeanRew_upper,-16.07973909412285,0,30
MeanSlowdown,5.236858079397839,0,30
MeanLen+,143.24333333333334,0,30
MeanLen-,54.07147235115964,0,30
MeanEntropy,2.0145416,0,30
NumTrajs,300,0,31
NumTimesteps,40391,0,31
MaxRew,-11.923267794270446,0,31
MeanRew_lower,4.372659853089125,0,31
MeanRew_upper,-15.814922718191834,0,31
MeanSlowdown,5.170787878787879,0,31
MeanLen+,134.63666666666666,0,31
MeanLen-,20.119757840380572,0,31
MeanEntropy,2.0868816,0,31
NumTrajs,300,0,32
NumTimesteps,41614,0,32
MaxRew,-11.78485107960017,0,32
MeanRew_lower,4.243633780628013,0,32
MeanRew_upper,-15.644527173308155,0,32
MeanSlowdown,5.14815712900097,0,32
MeanLen+,138.71333333333334,0,32
MeanLen-,31.48562352707802,0,32
MeanEntropy,2.031014,0,32
NumTrajs,300,0,33
NumTimesteps,40796,0,33
MaxRew,-11.28849107478225,0,33
MeanRew_lower,4.399823809611998,0,33
MeanRew_upper,-15.702837509246686,0,33
MeanSlowdown,5.162928839859377,0,33
MeanLen+,135.98666666666668,0,33
MeanLen-,31.189525307206726,0,33
MeanEntropy,2.0736434,0,33
NumTrajs,300,0,34
NumTimesteps,40619,0,34
MaxRew,-11.004198053913573,0,34
MeanRew_lower,4.081019669571589,0,34
MeanRew_upper,-15.68314084099075,0,34
MeanSlowdown,5.179151515151515,0,34
MeanLen+,135.39666666666668,0,34
MeanLen-,20.620523487266002,0,34
MeanEntropy,2.0471263,0,34
NumTrajs,300,0,35
NumTimesteps,40356,0,35
MaxRew,-11.63898220766298,0,35
MeanRew_lower,4.149189199068569,0,35
MeanRew_upper,-15.663317843964773,0,35
MeanSlowdown,5.083030303030303,0,35
MeanLen+,134.52,0,35
MeanLen-,21.73314519345969,0,35
MeanEntropy,2.0763803,0,35
NumTrajs,300,0,36
NumTimesteps,40382,0,36
MaxRew,-11.085416311280246,0,36
MeanRew_lower,4.1857165033651125,0,36
MeanRew_upper,-15.682501314352846,0,36
MeanSlowdown,5.163151515151515,0,36
MeanLen+,134.60666666666665,0,36
MeanLen-,23.186604370244087,0,36
MeanEntropy,2.0346992,0,36
NumTrajs,300,0,37
NumTimesteps,40531,0,37
MaxRew,-10.866624821339482,0,37
MeanRew_lower,4.116795349635695,0,37
MeanRew_upper,-15.41327354860737,0,37
MeanSlowdown,5.096606060606061,0,37
MeanLen+,135.10333333333332,0,37
MeanLen-,25.489200109501713,0,37
MeanEntropy,2.0434477,0,37
NumTrajs,300,0,38
NumTimesteps,40695,0,38
MaxRew,-11.241590923774115,0,38
MeanRew_lower,4.058171469969383,0,38
MeanRew_upper,-15.214945438183035,0,38
MeanSlowdown,5.1179966044142615,0,38
MeanLen+,135.65,0,38
MeanLen-,25.330367150911968,0,38
MeanEntropy,2.0843635,0,38
NumTrajs,300,0,39
NumTimesteps,44999,0,39
MaxRew,-11.565598384702628,0,39
MeanRew_lower,5.261716682253057,0,39
MeanRew_upper,-15.81154240706428,0,39
MeanSlowdown,5.265799708313077,0,39
MeanLen+,149.99666666666667,0,39
MeanLen-,66.13967535115027,0,39
MeanEntropy,1.9659107,0,39
NumTrajs,300,0,40
