iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7f335f0b3960>,5,2,[10  4],6,18,20,7
<environment.Job instance at 0x7f335f859050>,6,13,[ 2 14],7,20,33,8
<environment.Job instance at 0x7f335f8591e0>,9,2,[ 3 10],10,33,35,11
<environment.Job instance at 0x7f335f859a00>,4,20,[10  2],5,33,53,24
<environment.Job instance at 0x7f335f859be0>,8,27,[ 1 10],9,35,62,33
<environment.Job instance at 0x7f335f859820>,12,28,[5 1],13,53,81,52
<environment.Job instance at 0x7f335f795460>,13,2,[5 9],14,62,64,52
<environment.Job instance at 0x7f335f795be0>,14,13,[6 3],15,64,77,52
<environment.Job instance at 0x7f335f7aaeb0>,1,3,[10  2],2,5,8,5
<environment.Job instance at 0x7f335ee7d6e0>,5,1,[ 3 12],6,6,7,6
<environment.Job instance at 0x7f335ee7d2d0>,4,22,[8 1],5,8,30,7
<environment.Job instance at 0x7f335ee7dc80>,7,1,[ 4 11],8,8,9,8
<environment.Job instance at 0x7f335ee7deb0>,3,24,[ 2 14],4,9,33,9
<environment.Job instance at 0x7f335ee7d5f0>,9,2,[1 8],10,33,35,10
<environment.Job instance at 0x7f335ee7d460>,10,15,[8 3],11,33,48,19
<environment.Job instance at 0x7f335ee7d5a0>,11,22,[7 5],12,35,57,28
<environment.Job instance at 0x7f335ee7d050>,12,13,[ 5 10],13,48,61,32
<environment.Job instance at 0x7f335ee7d780>,13,16,[ 3 10],14,61,77,48
<environment.Job instance at 0x7f335f872870>,0,26,[10  5],1,1,27,1
<environment.Job instance at 0x7f335f0eedc0>,1,13,[4 9],2,2,15,2
<environment.Job instance at 0x7f335f1e8780>,6,1,[5 9],7,15,16,7
<environment.Job instance at 0x7f335ee35a50>,3,2,[13  3],4,27,29,7
<environment.Job instance at 0x7f335f1e8fa0>,5,2,[5 2],6,16,18,10
<environment.Job instance at 0x7f335f2c5730>,9,12,[9 3],10,29,41,19
<environment.Job instance at 0x7f335f872280>,2,14,[2 9],3,21,35,21
<environment.Job instance at 0x7f335f1e8640>,4,21,[ 4 12],5,35,56,30
<environment.Job instance at 0x7f335f2c5eb0>,10,18,[10  3],11,46,64,46
<environment.Job instance at 0x7f335f0fe500>,13,12,[1 7],14,56,68,46
<environment.Job instance at 0x7f335f0fee60>,14,3,[10  2],15,64,67,46
<environment.Job instance at 0x7f335f0fec80>,15,3,[5 5],16,67,70,46
<environment.Job instance at 0x7f335f851280>,16,3,[ 5 10],17,68,71,46
<environment.Job instance at 0x7f335eeb7550>,0,23,[7 3],1,1,24,1
<environment.Job instance at 0x7f335eeb7820>,1,3,[10  5],2,24,27,2
<environment.Job instance at 0x7f335ed033c0>,4,3,[7 5],5,7,10,7
<environment.Job instance at 0x7f335ed03550>,6,16,[7 4],7,27,43,14
<environment.Job instance at 0x7f335ed03730>,8,18,[4 6],9,14,32,14
<environment.Job instance at 0x7f335ed03780>,9,22,[14  1],10,46,68,46
<environment.Job instance at 0x7f335ed035f0>,10,3,[11  3],11,68,71,46
<environment.Job instance at 0x7f335ed4ebe0>,0,25,[4 5],1,1,26,1
<environment.Job instance at 0x7f335ed4ecd0>,1,25,[6 3],2,2,27,2
<environment.Job instance at 0x7f335ed4ed20>,2,2,[11  1],3,27,29,3
<environment.Job instance at 0x7f335ed4e910>,5,2,[5 5],6,7,9,7
<environment.Job instance at 0x7f335ed4e780>,6,13,[ 1 13],7,27,40,11
<environment.Job instance at 0x7f335ed9dcd0>,9,16,[11  1],10,29,45,16
<environment.Job instance at 0x7f335ed9de60>,10,14,[14  2],11,45,59,30
<environment.Job instance at 0x7f335ed9d8c0>,11,1,[5 9],12,59,60,31
